Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
12328,0.85,Ideal,F,VS2,62.4,57.0,6.13,6.01,3.79,3641
23867,0.3,Ideal,E,VS2,62.2,56.0,4.28,4.3,2.67,658
8478,1.7,Good,G,VS1,63.9,58.0,7.46,7.5,4.78,14787
818,1.01,Very Good,D,VS2,63.1,58.0,6.34,6.38,4.01,7448
14366,0.31,Very Good,G,VVS1,62.5,57.0,4.3,4.4,2.72,816
21107,1.3,Ideal,H,VS2,62.8,56.0,7.03,6.93,4.38,8124
4643,0.3,Premium,D,VS1,61.2,59.0,4.34,4.29,2.64,732
12776,1.01,Very Good,E,VS2,62.3,58.0,6.39,6.45,4.0,6310
18592,0.33,Very Good,E,VS2,62.8,56.0,4.4,4.42,2.77,627
8858,1.06,Premium,F,VS2,61.2,57.0,6.64,6.49,4.02,5942
11427,0.7,Very Good,D,VS2,60.6,60.0,5.71,5.75,3.47,3668
2583,1.23,Ideal,I,SI1,62.0,57.0,6.91,6.87,4.27,5855
5702,0.55,Very Good,E,VVS2,60.6,56.0,5.33,5.36,3.24,2499
21243,1.62,Premium,F,SI1,62.6,58.0,7.53,7.48,4.7,13298
15097,1.01,Premium,I,SI2,59.6,62.0,6.56,6.5,3.89,3767
3065,0.51,Premium,I,SI1,62.7,59.0,5.06,5.09,3.18,984
23371,0.31,Premium,H,SI1,62.4,57.0,4.35,4.31,2.7,558
12564,0.38,Ideal,H,SI1,61.2,56.0,4.63,4.68,2.85,650
7578,0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,499
2944,0.35,Ideal,F,VS2,62.6,56.0,4.49,4.52,2.82,706
16373,0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92,1050
32,0.72,Very Good,J,VVS2,63.0,59.0,5.7,5.72,3.6,2144
1306,0.96,Very Good,D,SI2,60.2,63.0,6.3,6.36,3.81,3480
18318,0.53,Ideal,G,SI1,62.3,55.0,5.13,5.24,3.23,1308
5990,0.36,Very Good,G,VVS1,62.8,57.0,4.52,4.55,2.85,821
12177,1.01,Good,E,SI1,64.1,59.0,6.35,6.31,4.06,4480
19121,0.77,Ideal,H,SI1,61.7,56.0,5.9,5.85,3.62,2612
12248,1.56,Premium,H,SI1,61.9,59.0,7.46,7.4,4.6,10990
24433,0.7,Very Good,G,SI1,63.3,61.0,5.6,5.55,3.53,2184
14684,0.32,Very Good,H,VS1,63.0,55.0,4.4,4.42,2.78,561
24667,1.59,Premium,F,VS2,60.2,60.0,7.59,7.62,4.58,15461
10181,0.91,Very Good,D,SI1,61.5,59.0,6.18,6.25,3.82,4239
1321,0.39,Ideal,E,SI1,60.6,57.0,4.75,4.79,2.89,677
3688,1.0,Fair,H,SI2,65.3,62.0,6.34,6.12,4.08,2818
6529,2.0,Ideal,J,VS2,61.0,57.0,8.08,8.13,4.94,14323
14392,0.41,Ideal,I,VVS1,62.0,54.5,4.77,4.8,2.97,891
12922,0.3,Premium,H,IF,60.4,60.0,4.34,4.3,2.61,1013
16402,0.7,Very Good,D,VS2,60.8,59.0,5.67,5.71,3.46,2928
16619,0.51,Ideal,D,VS1,62.5,57.0,5.08,5.13,3.19,1779
22449,0.35,Premium,E,VVS1,60.7,59.0,4.55,4.58,2.77,1044
9263,0.71,Very Good,J,VS1,62.4,58.0,5.67,5.7,3.55,2061
8000,0.91,Ideal,E,VVS1,61.7,56.0,6.18,6.23,3.83,9636
7352,1.0,Ideal,G,VS2,62.1,57.0,6.42,6.37,3.97,6612
8020,0.83,Good,G,VS2,63.7,60.9,5.84,5.92,3.75,3195
19269,0.35,Ideal,D,SI2,62.4,57.0,4.5,4.47,2.8,625
2287,0.91,Good,H,VVS2,65.5,57.0,6.01,6.11,3.97,4205
16165,1.0,Very Good,D,SI1,59.2,62.0,6.49,6.54,3.86,5621
9601,2.01,Premium,I,SI2,63.0,56.0,8.05,7.96,5.05,11312
26921,0.9,Premium,E,SI1,62.7,60.0,6.13,6.03,3.81,4443
5956,1.06,Ideal,I,SI1,62.8,56.0,6.52,6.47,4.08,4333
25663,0.66,Ideal,E,SI1,62.8,57.0,5.58,5.53,3.49,1901
2996,0.55,Very Good,E,VS2,61.5,56.0,5.25,5.28,3.24,1786
14265,1.13,Ideal,D,VVS2,61.7,57.0,6.65,6.68,4.11,12150
25101,0.31,Ideal,E,IF,61.3,58.0,4.37,4.4,2.69,1002
18416,1.24,Ideal,G,VS2,62.0,56.0,6.87,6.9,4.27,8797
3968,0.9,Ideal,E,SI1,60.1,56.0,6.3,6.35,3.8,4034
14982,0.31,Premium,E,SI1,62.9,58.0,4.33,4.29,2.71,698
15511,0.51,Premium,F,VS2,62.1,58.0,5.09,5.12,3.17,1569
2149,1.33,Premium,G,SI2,61.3,59.0,7.06,6.93,4.29,4634
7922,0.31,Premium,E,VS2,60.8,58.0,4.35,4.37,2.65,680
10367,0.73,Ideal,E,VS2,61.4,55.0,5.82,5.8,3.57,2902
2705,1.01,Good,G,VS2,64.0,59.0,6.27,6.33,4.03,6109
24782,0.74,Very Good,F,VS2,61.3,61.0,5.8,5.84,3.57,2775
5754,0.27,Ideal,F,IF,63.0,55.0,4.13,4.16,2.61,760
3912,0.51,Ideal,F,VVS2,62.2,56.0,5.12,5.08,3.17,2203
25661,0.81,Good,G,SI2,61.0,61.0,5.94,5.99,3.64,2789
2465,1.23,Very Good,F,VS1,59.3,59.0,6.98,7.01,4.15,10609
17261,0.24,Very Good,D,VVS2,61.9,58.0,4.02,4.03,2.49,478
6424,0.33,Ideal,G,VVS1,62.0,55.0,4.45,4.49,2.77,838
17788,0.8,Ideal,E,VS2,62.2,55.0,5.95,5.98,3.71,4126
22896,0.38,Ideal,F,VS2,62.0,56.0,4.63,4.66,2.88,800
20324,1.02,Very Good,H,SI1,64.4,59.0,6.24,6.36,4.06,5047
17719,1.16,Ideal,J,SI1,60.7,57.0,6.77,6.83,4.13,3955
20557,0.53,Ideal,G,VVS2,60.4,59.0,5.26,5.3,3.19,1946
2587,0.55,Ideal,F,VS1,61.9,56.0,5.25,5.29,3.26,1881
3324,0.4,Good,F,VS2,62.2,61.0,4.71,4.74,2.94,784
6543,0.4,Good,D,VS1,60.5,63.0,4.75,4.77,2.88,954
18231,0.42,Very Good,D,SI1,63.3,58.0,4.75,4.73,3.0,942
15931,0.23,Very Good,E,VVS2,61.5,59.0,3.95,3.98,2.44,530
5456,0.6,Very Good,E,VS1,60.0,58.0,5.5,5.56,3.32,2270
10428,2.02,Good,F,SI2,61.9,61.0,8.06,8.02,4.98,15261
5545,0.31,Ideal,G,VS1,61.4,56.0,4.36,4.37,2.68,625
9568,0.72,Very Good,E,VS2,63.8,57.0,5.66,5.69,3.62,3035
9447,0.9,Premium,E,SI2,61.7,58.0,6.18,6.11,3.79,3830
12229,1.57,Premium,G,SI2,61.1,61.0,7.46,7.43,4.55,8572
15786,0.7,Fair,H,VS2,64.9,56.0,5.49,5.51,3.57,1981
6572,0.9,Good,H,VVS1,64.3,59.0,6.04,6.09,3.9,4381
14505,0.92,Very Good,D,VVS2,62.8,58.0,6.11,6.22,3.87,7150
4748,1.01,Very Good,G,SI1,63.7,60.0,6.31,6.35,4.03,5192
5648,0.53,Good,E,VS2,63.7,55.0,5.15,5.12,3.27,1727
14537,0.3,Good,E,SI1,63.8,55.0,4.25,4.28,2.72,526
14629,1.02,Premium,F,VS1,62.7,55.0,6.43,6.37,4.01,7677
8100,0.3,Premium,G,VVS2,62.7,56.0,4.31,4.24,2.68,878
11755,1.01,Very Good,G,IF,61.1,56.0,6.45,6.48,3.95,9063
24384,1.64,Ideal,F,SI2,61.4,57.0,7.59,7.55,4.65,10929
13794,0.73,Ideal,H,SI1,61.5,55.0,5.79,5.84,3.57,2605
2441,0.53,Ideal,D,SI1,62.0,55.0,5.22,5.24,3.24,1631
12452,1.22,Good,G,VS2,59.9,61.0,6.88,6.91,4.13,8533
11651,0.3,Premium,H,VVS1,61.3,58.0,4.32,4.3,2.64,761
4236,0.5,Fair,F,SI1,65.1,59.0,5.01,4.92,3.23,994
9667,1.01,Premium,F,SI2,60.0,60.0,6.46,6.4,3.86,3717
6159,0.26,Very Good,E,VVS2,63.0,58.0,4.08,4.11,2.58,597
25067,0.4,Ideal,E,VS2,62.4,56.0,4.71,4.74,2.95,912
19261,1.02,Ideal,G,VVS2,59.2,58.0,6.56,6.62,3.9,8107
11921,0.75,Premium,F,VS2,59.6,59.0,6.04,5.94,3.57,2835
21974,1.5,Good,G,VS2,63.8,56.0,7.2,7.15,4.58,11508
21820,0.41,Very Good,D,VS2,,54.0,4.77,4.82,2.96,939
13301,0.61,Ideal,J,VS1,61.1,56.0,5.44,5.49,3.33,1569
11306,0.9,Good,H,SI1,58.9,61.0,6.27,6.36,3.72,3734
5272,1.71,Ideal,I,VS2,60.5,56.0,7.71,7.73,4.67,11455
23657,0.24,Very Good,F,VVS2,60.5,59.0,3.98,4.05,2.43,552
7680,1.23,Very Good,J,VVS2,61.2,57.0,6.86,6.92,4.22,5665
1704,0.44,Premium,G,VVS1,60.9,59.0,4.96,4.9,3.0,1294
16554,0.39,Premium,H,VS1,61.7,57.0,4.68,4.65,2.88,1009
15900,0.29,Ideal,F,VVS1,61.1,57.0,4.26,4.29,2.61,715
25586,0.9,Very Good,F,VS1,62.1,58.0,6.15,6.19,3.83,4898
16048,2.02,Premium,J,VS2,62.1,59.0,8.08,7.98,4.99,14330
2008,1.52,Good,E,I1,57.3,58.0,7.53,7.42,4.28,3105
24815,0.41,Good,F,SI1,63.2,59.0,4.68,4.72,2.97,755
8789,0.75,Ideal,G,VVS2,62.0,56.0,5.79,5.85,3.61,3740
16603,0.74,Ideal,G,VS1,61.8,55.0,5.85,5.8,3.6,2960
25044,0.32,Ideal,G,VS1,61.2,57.0,4.4,4.43,2.7,645
15943,0.3,Ideal,H,SI1,62.6,53.1,4.27,4.3,2.69,475
9654,0.34,Ideal,D,IF,59.8,57.0,4.57,4.59,2.74,2287
20044,0.3,Ideal,G,VVS1,61.7,57.0,4.31,4.34,2.67,684
13232,1.3,Ideal,D,SI1,62.2,56.0,6.98,6.94,4.33,9275
23739,1.02,Ideal,F,VS2,62.7,56.0,6.39,6.44,4.02,6479
2674,0.5,Fair,E,VS1,56.1,64.0,5.31,5.28,2.97,1950
2174,0.71,Ideal,D,SI2,61.5,56.0,5.74,5.78,3.54,2610
25998,1.01,Good,F,SI1,63.8,59.0,6.29,6.32,4.02,4899
25343,0.5,Ideal,E,SI1,60.6,59.0,5.13,5.16,3.12,1337
22506,1.19,Ideal,E,SI2,60.2,57.0,6.87,6.84,4.13,5822
16825,0.3,Ideal,F,VS1,61.3,55.0,4.36,4.32,2.66,731
26298,0.31,Very Good,H,VVS1,63.3,56.0,4.32,4.3,2.73,907
584,0.31,Good,G,VS1,63.8,57.0,4.29,4.33,2.75,625
21374,1.51,Premium,I,VVS2,62.1,58.0,7.32,7.29,4.54,9498
17285,1.52,Fair,H,I1,64.9,58.0,7.18,7.13,4.65,3504
17042,1.05,Ideal,F,VS2,62.8,57.0,6.48,6.45,4.06,6933
13085,0.55,Ideal,I,VVS1,61.7,56.0,5.29,5.24,3.25,1712
21055,0.5,Good,F,VS2,58.8,64.0,5.21,5.16,3.05,1433
14675,0.26,Ideal,G,VS1,62.1,55.0,4.09,4.12,2.55,478
11224,0.3,Premium,H,SI1,62.2,60.0,4.28,4.24,2.65,540
26757,0.44,Ideal,G,SI1,61.5,57.0,4.88,4.87,3.0,990
226,0.79,Ideal,D,SI1,61.1,57.0,5.94,6.0,3.65,3209
8185,0.3,Ideal,G,IF,62.4,55.0,4.3,4.32,2.69,799
18284,0.41,Ideal,E,SI2,61.9,57.0,4.76,4.8,2.96,683
6315,0.58,Good,E,SI1,61.0,62.0,5.36,5.33,3.26,1844
21197,0.72,Premium,G,VS1,58.9,58.0,5.93,5.85,3.47,3032
24167,0.41,Very Good,J,IF,63.5,54.0,4.75,4.7,3.0,1061
1620,0.31,Ideal,D,VS2,62.0,55.0,4.36,4.38,2.71,734
10456,0.55,Ideal,F,VS1,61.4,55.0,5.28,5.24,3.23,1901
10421,0.53,Ideal,G,VVS2,61.5,56.0,5.18,5.22,3.2,1881
25483,0.31,Premium,D,VS2,61.2,59.0,4.32,4.37,2.66,734
20589,0.71,Good,D,VS1,63.4,55.0,5.61,5.69,3.58,2816
4920,1.07,Premium,G,VS2,59.8,58.0,6.67,6.63,3.98,5177
21889,0.3,Premium,I,VVS2,61.7,58.0,4.37,4.28,2.67,675
4066,1.13,Ideal,G,VS1,61.7,54.0,6.77,6.71,4.16,7404
8454,0.9,Good,D,SI2,63.8,58.0,6.09,6.13,3.9,3806
7448,1.24,Ideal,G,VS2,62.3,57.0,6.95,6.89,4.31,8799
19755,0.56,Very Good,F,VS1,58.2,60.0,5.38,5.41,3.14,1915
12021,1.73,Ideal,J,SI1,62.6,57.0,7.69,7.65,4.8,6927
9603,0.27,Ideal,E,VS1,61.6,56.0,4.14,4.17,2.56,470
19223,1.09,Ideal,F,SI1,62.0,56.0,6.61,6.56,4.08,5768
15905,0.93,Good,J,VS2,63.6,61.0,6.16,6.08,3.89,3000
12765,0.4,Good,D,SI2,63.4,59.0,4.67,4.7,2.97,622
18475,1.0,Good,F,VS2,63.7,59.0,6.27,6.32,4.01,5929
24248,0.28,Very Good,E,IF,59.6,55.0,4.24,4.31,2.55,688
8826,1.2,Premium,E,SI2,62.6,56.0,6.84,6.77,4.26,6397
1488,0.41,Ideal,H,SI1,62.6,55.0,4.79,4.77,2.99,876
16054,1.06,Ideal,G,VS1,61.4,56.0,6.55,6.58,4.03,7589
24367,2.1,Ideal,J,VS2,61.5,61.0,8.21,8.16,5.03,13462
10784,0.31,Very Good,H,VS1,,58.0,4.28,4.34,2.69,544
17431,1.22,Premium,G,VS2,61.8,58.0,6.84,6.91,4.25,8213
17146,1.03,Premium,E,SI2,61.4,58.0,6.49,6.45,3.97,4328
7876,1.5,Very Good,I,VS2,60.5,60.0,7.31,7.4,4.45,9354
10691,0.3,Premium,H,VS2,62.2,59.0,4.31,4.28,2.67,608
6699,1.21,Very Good,H,SI1,63.3,57.0,6.77,6.7,4.26,6058
20658,0.87,Ideal,H,SI1,62.5,57.0,6.13,6.06,3.81,2923
19783,0.9,Good,D,SI1,58.5,63.0,6.21,6.3,3.66,4469
6720,0.29,Very Good,E,VVS2,61.4,58.0,4.25,4.31,2.63,633
24303,0.34,Ideal,D,IF,62.1,57.0,4.46,4.52,2.79,2287
9313,0.71,Fair,H,SI1,65.1,55.0,5.69,5.65,3.69,2049
8550,0.7,Very Good,E,VVS1,63.2,57.0,5.62,5.67,3.57,4644
22529,2.03,Premium,I,SI1,59.9,58.0,8.23,8.21,4.92,15095
4,0.42,Ideal,F,VS1,61.6,56.0,4.82,4.8,2.96,1082
4213,0.37,Very Good,G,VS1,63.1,56.0,4.59,4.57,2.89,957
8990,1.21,Ideal,H,SI1,61.8,55.0,6.82,6.86,4.23,6727
6247,0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,776
3708,0.61,Very Good,I,VS2,62.4,57.0,5.4,5.43,3.38,1572
14400,1.55,Premium,I,SI1,62.5,60.0,7.33,7.35,4.59,8866
12721,2.1,Premium,J,VS2,58.3,54.0,8.49,8.45,4.94,12401
10623,0.33,Very Good,I,VS1,63.1,56.0,4.4,4.38,2.77,668
1186,0.5,Good,D,SI2,58.5,64.0,5.2,5.12,3.02,958
6913,1.01,Very Good,F,SI1,61.9,57.0,6.37,6.42,3.96,4619
15293,0.5,Very Good,H,SI1,63.1,55.0,5.09,5.02,3.19,984
9086,1.03,Premium,G,SI1,60.1,60.0,6.55,6.52,3.93,5581
7057,0.4,Fair,F,SI1,64.7,58.0,4.67,4.63,3.01,857
26875,0.34,Ideal,F,IF,61.9,55.0,4.49,4.52,2.79,1276
20093,1.52,Premium,H,SI1,61.0,58.0,7.44,7.39,4.52,9700
11931,0.32,Premium,H,SI1,60.9,60.0,4.4,4.43,2.69,461
16174,0.41,Ideal,E,VVS2,61.5,55.0,4.79,4.83,2.96,1187
13323,1.07,Very Good,J,VVS2,60.0,60.0,6.57,6.59,3.95,5661
6896,0.5,Fair,G,I1,64.9,57.0,5.01,4.97,3.24,727
8626,0.33,Good,F,VS2,59.5,61.0,4.49,4.54,2.68,643
9842,0.39,Premium,G,SI1,62.4,58.0,4.72,4.67,2.93,878
25721,0.54,Ideal,G,VVS2,61.0,56.0,5.3,5.25,3.22,2090
16011,0.72,Ideal,E,SI1,61.0,57.0,5.78,5.8,3.53,2835
1780,0.5,Ideal,E,SI1,60.1,57.0,5.14,5.27,3.13,1410
22600,1.03,Premium,G,SI2,59.9,60.0,6.56,6.5,3.91,4413
22451,0.9,Ideal,G,SI1,62.4,57.0,6.15,6.19,3.85,4059
19800,0.3,Ideal,F,VVS1,62.6,56.0,4.26,4.29,2.67,857
22444,0.36,Ideal,D,VS1,62.8,55.0,4.55,4.52,2.85,1018
18420,0.32,Ideal,E,VS1,61.8,55.0,4.43,4.4,2.73,972
3222,0.9,Good,F,VS2,63.3,57.0,6.04,6.09,3.84,4253
6412,1.36,Very Good,G,VVS2,60.8,60.0,7.12,7.16,4.34,11774
11267,0.54,Ideal,D,VS2,61.1,57.0,5.22,5.25,3.2,1892
15980,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,6795
3548,0.55,Ideal,I,SI1,61.2,55.0,5.28,5.33,3.25,1320
24955,0.39,Ideal,G,IF,61.7,55.0,4.68,4.72,2.9,1154
9830,0.56,Ideal,F,VVS2,61.9,56.0,5.28,5.32,3.28,2298
3973,0.31,Ideal,G,VVS1,60.6,57.0,4.38,4.4,2.66,816
11855,0.7,Premium,G,VS1,61.0,59.0,5.68,5.77,3.49,2512
19624,0.5,Ideal,D,VVS2,62.5,53.0,5.05,5.13,3.18,2475
20915,1.02,Very Good,F,SI1,63.5,57.0,6.4,6.35,4.05,4678
22727,1.2,Very Good,G,VS2,,56.0,6.82,6.75,4.29,8491
22994,0.3,Good,G,VS1,63.8,55.0,4.28,4.25,2.72,776
6317,0.59,Ideal,E,VVS2,62.0,55.0,5.38,5.43,3.35,2761
23619,2.61,Ideal,J,SI2,64.6,55.0,8.61,8.57,5.55,17209
4683,1.01,Ideal,G,VS2,62.4,57.0,6.39,6.36,3.98,6340
1909,0.26,Ideal,D,VVS2,61.4,56.0,4.12,4.15,2.54,599
1864,0.23,Good,E,VVS1,59.9,65.0,3.93,3.95,2.36,439
6118,0.9,Very Good,E,SI1,63.5,55.0,6.22,6.12,3.92,3508
2701,0.73,Premium,F,SI2,58.3,58.0,5.95,5.91,3.46,2393
10280,0.32,Very Good,H,VS1,63.0,57.0,4.32,4.35,2.73,561
16807,1.07,Ideal,G,SI1,62.2,56.0,6.52,6.56,4.07,5551
24431,0.42,Good,G,VVS2,57.7,59.8,4.95,4.96,2.86,1076
9663,0.28,Ideal,H,VVS2,61.2,55.0,4.18,4.22,2.57,514
23095,1.68,Ideal,G,VS1,62.0,55.0,7.59,7.66,4.73,16985
11466,1.01,Premium,E,VS1,60.8,59.0,6.42,6.46,3.92,7821
24069,0.57,Ideal,H,VS1,61.3,55.1,5.34,5.42,3.29,1720
17940,0.53,Ideal,F,VVS2,61.6,55.0,5.21,5.24,3.22,2131
7160,1.16,Ideal,G,SI2,61.9,56.0,6.77,6.73,4.18,4969
19304,0.42,Very Good,D,VS2,63.2,58.0,4.77,4.79,3.02,910
659,0.91,Premium,H,SI1,63.0,57.0,6.19,6.1,3.87,3033
13731,1.56,Ideal,G,SI1,61.2,56.0,7.51,7.49,4.59,11628
15782,0.32,Very Good,F,VS1,62.3,55.0,4.38,4.42,2.74,696
10376,0.2,Premium,E,SI2,,62.0,3.79,3.75,2.27,345
8673,1.06,Very Good,F,SI2,60.0,59.0,6.6,6.63,3.97,4224
25990,1.01,Premium,H,SI2,59.9,59.0,6.51,6.48,3.89,4242
26897,0.32,Premium,G,VS1,62.1,58.0,4.39,4.37,2.72,828
807,1.02,Very Good,E,VVS1,62.6,56.0,6.35,6.5,4.02,9498
25,0.66,Ideal,H,SI1,62.4,58.0,5.53,5.56,3.46,1609
8586,0.72,Good,G,VS2,63.4,53.0,5.72,5.79,3.64,2311
8381,1.16,Premium,G,VVS2,60.0,59.0,6.89,6.82,4.11,9146
10502,0.56,Premium,H,VS1,60.1,58.0,5.4,5.35,3.23,1585
